병원명,Latitude,Longitude
의료법인석영의료재단창원제일종합병원,35.1990648,128.5677247
의료법인 록향의료재단 신천연합병원,37.4446981,126.789408
의료법인 갈렌의료재단 박병원,37.0482621,127.0569953
의료법인 은혜와감사의료재단 화성중앙종합병원,37.1315390,126.9108057
세란병원,37.5751050,126.9575309
당진종합병원,36.9045240,126.6837849
부안성모병원,35.7245268,126.7347598
비에스종합병원,37.7354880,126.4864141
의료법인성화의료재단 대한병원,37.6354698,127.0226702
서산중앙병원,36.7807470,126.5028261
서광병원,35.1325914,126.8557315
의료법인 건명의료재단 중앙제일병원,36.8582375,127.4407231
의료법인 영동의료재단 의정부백병원,37.7452422,127.0619884
현대유비스병원,37.4616099,126.6429977
의료법인 정산의료재단 효성병원,36.6244167,127.4953362
온재병원,38.1983259,128.578795
희명병원,37.4556708,126.9005612
혜민병원,37.5353715,127.0835586
